date,code,indicator,hamilton_cycle,prob_low,prob_high,regime,raw_value,standardized,hamilton_trend
2025-04-30,M0000612,CPI,-1.1437672844761106,0.9999997935398572,2.0646014224994404e-07,低位区制,-0.1,-1.1777066207954578,-0.03393933631934709
2025-05-31,M0000612,CPI,-0.9806889009607399,0.9999993629168875,6.370831120032636e-07,低位区制,-0.1,-1.1777066207954578,-0.19701771983471794
2025-06-30,M0000612,CPI,-0.6914383630864329,0.9999956265535421,4.3734464573273975e-06,低位区制,0.1,-1.0724203274045716,-0.38098196431813874
2025-07-31,M0000612,CPI,-0.6873109695039084,0.999995507337049,4.492662950350632e-06,低位区制,0.0,-1.1250634741000147,-0.43775250459610643
2025-08-31,M0000612,CPI,-0.9145342200982337,0.9999990023002484,9.976997510146772e-07,低位区制,-0.4,-1.335636060881787,-0.4211018407835533
2025-09-30,M0000612,CPI,-1.1784008506267807,0.9999998334783874,1.6652161222066691e-07,低位区制,-0.3,-1.2829929141863439,-0.10459206355956319
2025-10-31,M0000612,CPI,-0.17686531314391152,0.9998905001802646,0.00010949981973506942,低位区制,0.2,-1.0197771807091285,-0.842911867565217
2025-11-30,M0000612,CPI,-0.2454384877541702,0.99992587948367,7.412051632974966e-05,低位区制,0.7,-0.7565614472319132,-0.511122959477743
2025-12-31,M0000612,CPI,-0.3259130034851503,0.9999553826733945,4.4617326605392054e-05,低位区制,0.8,-0.7039183005364701,-0.3780052970513198
2026-01-31,M0000612,CPI,-0.893374675139273,0.999998816280546,1.1837194540314614e-06,低位区制,0.2,-1.0197771807091285,-0.12640250556985544
2026-02-28,M0000612,CPI,-0.25791423599642255,0.9999284467836823,7.155321631764069e-05,低位区制,1.3,-0.44070256705925476,-0.1827883310628322
2026-03-31,M0000612,CPI,-0.35176608402634546,0.9996790143386557,0.00032098566134435057,低位区制,1.0,-0.598632007145584,-0.2468659231192385
2005-12-31,M0017126,PMI,0.7597027955005149,0.007879488705425798,0.992120511294574,高位区制,54.3,1.1855119328340478,0.4258091373335328
2006-01-31,M0017126,PMI,0.1548731643073978,0.02286456298517372,0.9771354370148261,高位区制,52.1,0.3468332514722557,0.19196008716485788
2006-02-28,M0017126,PMI,0.04890572860248216,0.023009537843745105,0.9769904621562546,高位区制,52.1,0.3468332514722557,0.29792752286977353
2006-03-31,M0017126,PMI,1.3395876139112664,2.4752900625566836e-07,0.9999997524709937,高位区制,55.3,1.5667295152712268,0.22714190135996054
2006-04-30,M0017126,PMI,2.532639377043838,3.331053322820845e-20,0.9999999999999999,高位区制,58.1,2.6341387460953296,0.10149936905149168
2006-05-31,M0017126,PMI,1.2008872861330142,1.480645991292751e-07,0.9999998519354008,高位区制,54.8,1.3761207240526372,0.17523343791962295
2006-06-30,M0017126,PMI,1.0089861307509234,5.512759053974828e-06,0.9999944872409459,高位区制,54.1,1.1092684163466136,0.10028228559569025
2006-07-31,M0017126,PMI,0.3088150978024497,0.002506836571113686,0.9974931634288859,高位区制,52.4,0.4611985262034083,0.1523834284009586
2006-08-31,M0017126,PMI,0.4229713613143143,0.0016237787280425691,0.9983762212719569,高位区制,53.1,0.7280508339094347,0.3050794725951204
2006-09-30,M0017126,PMI,2.069352472750562,1.300324147126161e-14,0.9999999999999863,高位区制,57.0,2.214799405414432,0.14544693266387004
2006-10-31,M0017126,PMI,1.2107587060543985,1.27147539629721e-07,0.9999998728524598,高位区制,54.7,1.3379989658089215,0.12724025975452297
2006-11-30,M0017126,PMI,1.2540473397111884,6.544921420722103e-08,0.9999999345507854,高位区制,55.3,1.5667295152712268,0.3126821755600384
2006-12-31,M0017126,PMI,1.0211657984255451,1.8683459114876497e-06,0.9999981316540881,高位区制,54.8,1.3761207240526372,0.3549549256270922
2007-01-31,M0017126,PMI,1.302503460363637,4.249843443378383e-08,0.9999999575015651,高位区制,55.1,1.4904859987837926,0.1879825384201556
2007-02-28,M0017126,PMI,0.4504585954731223,0.0006595729207245902,0.9993404270792752,高位区制,53.1,0.7280508339094347,0.2775922384363124
