date,raw_pmi,raw,hp_smooth_trend,hp_cycle,hamilton_cycle,hamilton_trend,bk_cycle,cf_cycle
2009-07-31,53.3,53.3,52.46038735643234,0.839612643567655,4.3714960676383114,48.928503932361686,1.9082924600154143,-0.006195027630767264
2009-08-31,54.0,54.0,52.429522954700104,1.5704770452998957,4.341424627516574,49.658575372483426,2.5940573838994303,0.9956842203192319
2009-09-30,54.3,54.3,52.39889310332511,1.9011068966748894,4.874656442800763,49.425343557199234,2.978238914080239,1.8459235654395287
2009-10-31,55.2,55.2,52.36832046542791,2.831679534572096,6.090227401717669,49.10977259828233,3.3005943403761835,2.5064603766892546
2009-11-30,55.2,55.2,52.33764237316377,2.8623576268362356,5.3297635835177175,49.870236416482285,2.9625045133014263,2.9559686975213664
2009-12-31,56.6,56.6,52.30671800806712,4.293281991932879,6.020954198032619,50.57904580196738,2.1509988037311767,3.1906294089594844
2010-01-31,55.8,55.8,52.27542863776519,3.524571362234809,4.800808886420704,50.99919111357929,1.4241992438627855,3.2233212877096724
2010-02-28,52.0,52.0,52.24368865706104,-0.2436886570610426,0.5392263551730565,51.46077364482694,0.9169019403910714,3.0813641986801987
2010-03-31,55.1,55.1,52.21143965652443,2.888560343475568,3.4601341262958414,51.63986587370416,0.5126225127230304,2.8030812365672038
2010-04-30,55.7,55.7,52.1786213464114,3.521378653588606,4.0271640241187185,51.672835975881284,0.32860522496630296,2.4335526255786726
2010-05-31,53.9,53.9,52.14519572525227,1.7548042747477268,2.162628680848883,51.737371319151116,0.2548805040530513,2.020000476956639
2010-06-30,52.1,52.1,52.11115196270893,-0.011151962708929375,0.24235288996262483,51.85764711003738,0.21300463164136563,1.6072642193024205
2010-07-31,51.2,51.2,52.076492768599685,-0.8764927685996824,-0.7682720483575167,51.96827204835752,0.180371013142967,1.2338005859968324
2010-08-31,51.7,51.7,52.04122076669378,-0.3412207666937803,-0.4704849456301332,52.170484945630136,0.1332394005489732,0.9285732329705425
2010-09-30,53.8,53.8,52.00533181769896,1.794668182301038,1.576487896838195,52.2235121031618,0.10608029061732305,0.7090934959703
2010-10-31,54.7,54.7,51.96881914944664,2.731180850553365,3.0100226850983205,51.68997731490168,0.144120454356935,0.5807470389852105
2010-11-30,55.2,55.2,51.931689837516565,3.268310162483438,2.974136633484875,52.22586336651513,0.3207337859900188,0.5374049087543422
2010-12-31,53.9,53.9,51.893972031414805,2.006027968585194,1.5650656219862071,52.33493437801379,0.39131498475336457,0.563186177135231
2011-01-31,52.9,52.9,51.85571909909005,1.0442809009099463,1.3884439297454492,51.51155607025455,0.5134626392192949,0.6351264438461872
2011-02-28,52.2,52.2,51.81699988710188,0.38300011289812375,0.5301132471687495,51.66988675283125,0.5183568247789521,0.7264232321239315
2011-03-31,53.4,53.4,51.77789129973288,1.6221087002671197,1.757734831105445,51.64226516889455,0.10704756218770028,0.809883566207531
2011-04-30,52.9,52.9,51.738473196513425,1.1615268034865736,1.4271860125276845,51.472813987472314,-0.12652730424105707,0.8611944246852902
2011-05-31,52.0,52.0,51.69883795324475,0.3011620467552518,0.4829570674672823,51.51704293253272,-0.12801398641255024,0.8616725013057557
2011-06-30,50.9,50.9,51.659086908126234,-0.7590869081262355,-0.6366022931214914,51.53660229312149,-0.2249743160155555,0.8002206815415172
2011-07-31,50.7,50.7,51.61932372313851,-0.9193237231385041,-0.9438207746819813,51.643820774681984,-0.4154718106736226,0.6743161368606957
