date,raw_pmi,hamilton_trend,hamilton_cycle
2016-08-31,50.4,50.65454325424297,-0.254543254242968
2016-09-30,50.4,50.62247693330424,-0.22247693330424312
2016-10-31,51.2,50.534708225575585,0.6652917744244178
2016-11-30,51.7,50.701064301873025,0.9989356981269779
2016-12-31,51.4,50.678763181879326,0.7212368181206728
2017-01-31,51.3,50.59405325121373,0.7059467487862676
2017-02-28,51.6,50.7531094442443,0.8468905557556994
2017-03-31,51.8,50.72413636251007,1.075863637489924
2017-04-30,51.2,50.78836088845442,0.41163911154558264
2017-05-31,51.2,50.786491349941564,0.4135086500584393
2017-06-30,51.7,50.86396986166963,0.8360301383303721
2017-07-31,51.4,51.01489180385637,0.38510819614362646
2017-08-31,51.7,50.96912833468539,0.7308716653146163
2017-09-30,52.4,51.05250042379181,1.347499576208186
2017-10-31,51.6,51.16615807617794,0.4338419238220581
2017-11-30,51.8,51.15759526845603,0.6424047315439694
2017-12-31,51.6,51.06408084453726,0.5359191554627429
2018-01-31,51.3,51.09003631324795,0.20996368675204735
2018-02-28,50.3,51.19544797415238,-0.8954479741523826
2018-03-31,51.5,51.082256443998794,0.4177435560012057
2018-04-30,51.4,51.10375331805119,0.29624668194880854
2018-05-31,51.9,51.27673924271753,0.6232607572824662
2018-06-30,51.5,51.13941056686673,0.36058943313327063
2018-07-31,51.2,51.17606853057018,0.023931469429825825
2018-08-31,51.3,51.27088488910258,0.02911511089741481
2018-09-30,50.8,51.11092491483361,-0.3109249148336133
2018-10-31,50.2,51.009372678248496,-0.8093726782484936
2018-11-30,50.0,51.12119264652219,-1.1211926465221893
2018-12-31,49.4,51.11195504228033,-1.71195504228033
2019-01-31,49.5,51.00646514745392,-1.5064651474539232
2019-02-28,49.2,51.137175892315966,-1.9371758923159632
2019-03-31,50.5,51.0656335668099,-0.5656335668099004
2019-04-30,50.1,51.15180433568125,-1.051804335681247
2019-05-31,49.4,51.03972476558143,-1.639724765581434
2019-06-30,49.4,50.9081509080485,-1.5081509080484992
2019-07-31,49.7,50.89543867067829,-1.1954386706782856
2019-08-31,49.5,50.75688008770977,-1.2568800877097672
2019-09-30,49.8,50.677088667508954,-0.8770886675089571
2019-10-31,49.3,50.6254493297431,-1.3254493297431011
2019-11-30,50.2,50.698941367960145,-0.49894136796014266
2019-12-31,50.2,50.6946062238085,-0.4946062238084963
2020-01-31,50.0,50.526110955712234,-0.5261109557122339
2020-02-29,35.7,50.70452123231132,-15.004521232311319
2020-03-31,52.0,50.701637616726316,1.298362383273684
2020-04-30,50.8,50.58308060746299,0.2169193925370081
2020-05-31,50.6,50.610950831271204,-0.010950831271202333
2020-06-30,50.9,50.599718793205724,0.30028120679427417
2020-07-31,51.1,50.670129797559056,0.4298702024409451
2020-08-31,51.0,50.74160870222495,0.25839129777504866
2020-09-30,51.5,50.625681913146614,0.8743180868533855
2020-10-31,51.4,48.916622377340666,2.483377622659333
2020-11-30,52.1,50.72083755941724,1.3791624405827605
2020-12-31,51.9,51.17921562907785,0.7207843709221464
2021-01-31,51.3,48.75230591598343,2.5476940840165696
2021-02-28,50.6,51.11782015643196,-0.5178201564319593
2021-03-31,51.9,50.984165478357774,0.9158345216422248
2021-04-30,51.1,50.94057615859906,0.1594238414009439
2021-05-31,51.0,51.040691967659995,-0.0406919676599955
2021-06-30,50.9,51.06843224657483,-0.1684322465748309
2021-07-31,50.4,51.131078690232854,-0.7310786902328559
2021-08-31,50.1,51.19246647558576,-1.0924664755857592
2021-09-30,49.6,51.08216766314495,-1.4821676631449492
2021-10-31,49.2,51.083703632059645,-1.8837036320596425
2021-11-30,50.1,51.220925115289724,-1.1209251152897224
2021-12-31,50.3,51.075058991730685,-0.7750589917306883
2022-01-31,50.1,50.918803632345984,-0.8188036323459826
2022-02-28,50.2,51.10522276291268,-0.905222762912679
2022-03-31,49.5,50.92818694389514,-1.4281869438951418
2022-04-30,47.4,50.867689289635706,-3.4676892896357074
2022-05-31,49.6,50.79431188775823,-1.194311887758225
2022-06-30,50.2,50.668791460527856,-0.4687914605278536
2022-07-31,49.0,50.74449831672468,-1.7444983167246804
2022-08-31,49.4,50.726298306581555,-1.3262983065815561
2022-09-30,50.1,50.62855022017779,-0.5285502201777916
2022-10-31,49.2,50.76024037245921,-1.560240372459205
2022-11-30,48.0,50.70520318458945,-2.7052031845894504
2022-12-31,47.0,50.39153429823758,-3.3915342982375805
2023-01-31,50.1,50.66041126409627,-0.5604112640962668
2023-02-28,52.6,50.72844039408204,1.871559605917959
2023-03-31,51.9,50.24193393363065,1.6580660663693507
2023-04-30,49.2,50.56699947868762,-1.3669994786876174
2023-05-31,48.8,50.77574053515111,-1.975740535151111
2023-06-30,49.0,50.49615226013256,-1.4961522601325612
2023-07-31,49.3,50.36554726308712,-1.0655472630871259
2023-08-31,49.7,50.331771262653206,-0.6317712626532028
2023-09-30,50.2,50.60765065663753,-0.40765065663752864
2023-10-31,49.5,50.84264578770298,-1.3426457877029776
2023-11-30,49.4,50.59451936735285,-1.1945193673528536
2023-12-31,49.0,50.61837052752233,-1.6183705275223303
2024-01-31,49.2,50.881374941604,-1.6813749416039983
2024-02-29,49.1,50.85872473594695,-1.7587247359469487
2024-03-31,50.8,50.52810373722036,0.2718962627796344
2024-04-30,50.4,50.52449460508805,-0.12449460508805288
2024-05-31,49.5,50.61838637038552,-1.1183863703855224
2024-06-30,49.5,50.57250205844892,-1.0725020584489187
2024-07-31,49.4,50.591234714877814,-1.1912347148778153
2024-08-31,49.1,50.62390881281126,-1.523908812811257
2024-09-30,49.8,50.5446500388962,-0.7446500388962036
2024-10-31,50.1,50.53044250117882,-0.4304425011788169
2024-11-30,50.3,50.685329897368696,-0.38532989736869894
2024-12-31,50.1,50.69885663965143,-0.5988566396514301
2025-01-31,49.1,50.52430794125259,-1.4243079412525859
2025-02-28,50.2,50.75524458349798,-0.5552445834979807
2025-03-31,50.5,50.705462578904196,-0.2054625789041964
2025-04-30,49.0,50.537734940726864,-1.537734940726864
2025-05-31,49.5,50.62354822479048,-1.1235482247904827
2025-06-30,49.7,50.668510551233204,-0.9685105512332015
2025-07-31,49.3,50.642529722508826,-1.3425297225088286
2025-08-31,49.4,50.71339630216285,-1.3133963021628503
2025-09-30,49.8,50.61929491324588,-0.8192949132458835
2025-10-31,49.0,50.77268845998614,-1.772688459986142
2025-11-30,49.2,50.826825919162644,-1.6268259191626413
2025-12-31,50.1,50.4753241836854,-0.3753241836854002
2026-01-31,49.3,50.658127026361605,-1.3581270263616076
2026-02-28,49.0,50.768929526389456,-1.7689295263894564
2026-03-31,50.4,50.49871285305129,-0.09871285305128907
2026-04-30,50.3,50.56980126166559,-0.2698012616655916
2026-05-31,50.0,50.660064038259755,-0.6600640382597547
