source_segment_id,target_segment_id,evaluation_type,date,model_value,prior_prob_low_state,prior_prob_high_state,prob_low_state,prob_high_state,state,growth_regime,log_likelihood_under_previous_params
segment_01,segment_02,next_segment_using_previous_params,2012-11-30,-0.5739209784643364,0.08632822253411446,0.9136717774658856,0.0072446122674964435,0.9927553877325036,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2012-12-31,-0.6593389244051266,0.08559225752690736,0.9144077424730926,0.00864912714183291,0.9913508728581671,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-01-31,-0.5167758932243984,0.08667642995569295,0.9133235700443071,0.006422010356451847,0.9935779896435482,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-02-28,-1.0252097371408766,0.08495727506562,0.91504272493438,0.018992002794237097,0.9810079972057629,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-03-31,-0.2997811780278923,0.09466029742594097,0.905339702574059,0.004397821210288825,0.9956021787897112,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-04-30,-0.07670843042856745,0.08339476397868417,0.9166052360213159,0.0023470638458572505,0.9976529361541426,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-05-31,0.0906866034322178,0.0818117443658117,0.9181882556341882,0.001591438514835817,0.9984085614851642,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-06-30,-0.6781336178219775,0.08122846243312841,0.9187715375668717,0.008515309486113471,0.9914846905138865,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-07-31,-0.39712925137275334,0.08657313349691798,0.913426866503082,0.004936261455138944,0.9950637385448611,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-08-31,0.21865829912260892,0.08381039650681303,0.916189603493187,0.0012332826166143393,0.9987667173833856,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-09-30,0.2964297020968232,0.08095199490889367,0.9190480050911063,0.001000941735676513,0.9989990582643236,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-10-31,0.5823430071450701,0.08077264645072121,0.9192273535492789,0.000532472000040041,0.99946752799996,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-11-30,0.4815392468912947,0.08041102552353986,0.91958897447646,0.0006614035644521304,0.9993385964355479,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2013-12-31,0.1255784309966259,0.08051055031312376,0.9194894496868763,0.0014485235303805545,0.9985514764696195,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-01-31,-0.33415042062245703,0.08111814356884446,0.9188818564311555,0.004006447094092393,0.9959935529059076,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-02-28,-0.6681554118682698,0.08309265466402066,0.9169073453359793,0.008538661762893385,0.9914613382371066,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-03-31,-0.5328724012183983,0.0865911595748875,0.9134088404251125,0.006644925633607049,0.993355074366393,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-04-30,-0.5701254508882414,0.08512934771637133,0.9148706522836287,0.007076492526224971,0.9929235074737751,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-05-31,-0.09372898508966188,0.08546248261917831,0.9145375173808217,0.0025023185431109663,0.997497681456889,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-06-30,0.0527712407593981,0.08193158849511041,0.9180684115048896,0.0017324445367754946,0.9982675554632245,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-07-31,0.649904864219863,0.08133730773200926,0.9186626922679908,0.0004624298771786902,0.9995375701228213,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-08-31,0.09354850269099302,0.08035695864262074,0.9196430413573793,0.0015509308934146954,0.9984490691065854,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-09-30,0.12326695754351391,0.0811971938099882,0.918802806190012,0.0014693943951929456,0.9985306056048071,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-10-31,-0.13690815973716752,0.0811342541965124,0.9188657458034877,0.0025998467053011485,0.9974001532946989,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-11-30,-0.597987058256237,0.08200687238594616,0.9179931276140538,0.007222288026423317,0.9927777119735767,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2014-12-31,-0.7486458158813178,0.08557502500975336,0.9144249749902467,0.010505568263957656,0.9894944317360423,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-01-31,-1.057317261028075,0.08810945307068295,0.911890546929317,0.021164879083316438,0.9788351209166836,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-02-28,-1.002982847217453,0.09633758301887191,0.903662416981128,0.020729433140751128,0.9792705668592488,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-03-31,-0.9021451043447328,0.09600145380174355,0.9039985461982564,0.016609384743068948,0.983390615256931,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-04-30,-0.8916072238981698,0.09282110807550868,0.9071788919244913,0.01565122818783291,0.9843487718121671,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-05-31,-0.7925354158181506,0.09208148834016208,0.9079185116598378,0.012514452473844225,0.9874855475261558,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-06-30,-0.8661463565246805,0.08966014997875997,0.9103398500212401,0.014264843178320837,0.9857351568216791,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-07-31,-0.9111776231997837,0.09101131070768614,0.9089886892923139,0.01598414510520186,0.984015854894798,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-08-31,-1.18198871141999,0.09233847340275049,0.9076615265972494,0.0290820558683671,0.9709179441316329,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-09-30,-1.0079745738490473,0.10244900621631466,0.8975509937836853,0.022401408799052325,0.9775985912009477,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-10-31,-0.9483807008280252,0.09729208442691736,0.9027079155730827,0.018624032737727177,0.9813759672622727,高均值状态,经济增长偏强,-180.33385027479633
segment_01,segment_02,next_segment_using_previous_params,2015-11-30,-1.1542757230104854,0.09437625416148268,0.9056237458385171,0.028057693329933485,0.9719423066700665,高均值状态,经济增长偏强,-180.33385027479633
segment_02,segment_03,next_segment_using_previous_params,2015-12-31,-1.0137131184030537,0.9199996652132916,0.0800003347867084,0.9999983789738279,1.621026172195162e-06,低均值状态,经济增长偏弱,-505.1824771042544
segment_02,segment_03,next_segment_using_previous_params,2016-01-31,-1.3363128503814679,0.919998994330498,0.08000100566950209,0.9999998701462552,1.2985374470336154e-07,低均值状态,经济增长偏弱,-505.1824771042544
segment_02,segment_03,next_segment_using_previous_params,2016-02-29,-1.7666137222150269,0.9199999194399492,0.08000008056005076,0.9999999955219224,4.478077594330228e-09,低均值状态,经济增长偏弱,-505.1824771042544
segment_02,segment_03,next_segment_using_previous_params,2016-03-31,-0.5388100224600194,0.9199999972218426,0.08000000277815748,0.9999333660020253,6.663399797474125e-05,低均值状态,经济增长偏弱,-505.1824771042544
segment_02,segment_03,next_segment_using_previous_params,2016-04-30,-0.6104736764192538,0.9199586608898012,0.08004133911019888,0.9999619454532976,3.805454670226027e-05,低均值状态,经济增长偏弱,-505.1824771042544
segment_02,segment_03,next_segment_using_previous_params,2016-05-31,-0.6215848717191008,0.9199763913145315,0.08002360868546846,0.999965122731099,3.487726890097088e-05,低均值状态,经济增长偏弱,-505.1824771042544
